"song_id","title","duration","release_date","genre_id","artist_id","mood_id","youtube_url","spotify_url","apple_music_url"
1,"Bloody Mary","04:05:00","2011-05-23",2,2,4,"https://youtu.be/VFwmKL5OL-Q?si=1rxgsXBJbALkYsOD","https://open.spotify.com/track/11BKm0j4eYoCPPpCONAVwA?si=4cdd7154fecf4522","https://music.apple.com/us/album/bloody-mary/1440857161?i=1440857734"
2,"Bad Romance","04:55:00","2009-10-19",2,2,4,"https://youtu.be/qrO4YZeyl0I?si=efiuO5HxnRpmT8xS","https://open.spotify.com/track/0SiywuOBRcynK0uKGWdCnn?si=3ebd07e484024e51","https://music.apple.com/us/album/bad-romance/1476727669?i=1476727670"
3,"Please Please Please","03:06:00","2024-06-07",2,3,4,"https://youtu.be/cF1Na4AIecM?si=BDGA3FUUNacng5RA","https://open.spotify.com/track/5N3hjp1WNayUPZrA8kJmJP?si=3d0e1c56f9b84c7f","https://music.apple.com/us/album/please-please-please/1750307020?i=1750307080"
4,"Espresso","02:56:00","2024-04-11",2,3,4,"https://youtu.be/eVli-tstM5E?si=dvQMXSraymCCiM0x","https://open.spotify.com/track/2qSkIjg1o9h3YT9RAgYN75?si=edfe82ec7a334bae","https://music.apple.com/us/album/espresso-single/1740212432"
5,"Talking to the Moon","03:38:00","2010-10-04",2,4,3,"https://youtu.be/fXw0jcYbqdo?si=8G1EIT4rjLCeiu41","https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU?si=f78f1144749843bf","https://music.apple.com/us/album/talking-to-the-moon/576654788?i=576655100"
6,"That’s What I Like","03:27:00","2016-11-18",2,4,4,"https://youtu.be/PMivT7MJ41M?si=filY-ur7w-P7Rnz1","https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU?si=0da28c2f7c0e4831","https://music.apple.com/us/album/thats-what-i-like/1161503945?i=1161504043"
7,"Without Me","04:50:00","2002-05-14",1,5,2,"https://youtu.be/YVkUvmDQ3HY?si=Lu54m5cQ-sXzukvV","https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk?si=c9594d3579a54612","https://music.apple.com/us/album/without-me/1440903530?i=1440903693"
8,"Mockingbird","04:11:00","2004-11-12",1,5,3,"https://youtu.be/S9bCLPwzSC0?si=G1G-egZGZBXeOeP1","https://open.spotify.com/track/561jH07mF1jHuk7KlaeF0s?si=c51355440655400e","https://music.apple.com/us/album/mockingbird/1452852431?i=1452852850"
9,"Praise the Lord","03:26:00","2018-05-25",1,6,4,"https://youtu.be/Kbj2Zss-5GY?si=a9uBRsga0lNkFoAw","https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z?si=841c904b1d1e4980","https://music.apple.com/us/album/praise-the-lord-da-shine-feat-skepta/1387635013?i=1387635035"
10,"Fashion Killa","03:56:00","2013-01-15",1,6,4,"https://youtu.be/F6VfsJ7LAlE?si=VLtmXnmbyC1CQDyg","https://open.spotify.com/track/0O3TAouZE4vL9dM5SyxgvH?si=2802fa1143ae411d","https://music.apple.com/us/album/fashion-killa/1450690198?i=1450690215"
11,"Money","03:04:00","2018-10-23",1,7,4,"https://youtu.be/zUOh09GoQgk?si=g5hokfRqD7uyDCx5","https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e?si=81e48129fbea45a3","https://music.apple.com/us/album/money/1439777399?i=1439777400"
12,"Please Me","03:21:00","2019-02-15",1,7,4,"https://youtu.be/3y-O-4IL-PU?si=UDF2RhurhMboWGye","https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN?si=5ca6b2343d2849a0","https://music.apple.com/us/album/please-me/1453056901?i=1453056904"
13,"One Dance","02:54:00","2016-04-05",3,8,4,"https://youtu.be/qL7zrWcv6XY?si=xc6dBfeepvR_f3Gc","https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0?si=a1795020d68d4cae","https://music.apple.com/us/album/one-dance-feat-wizkid-kyla/1440841363?i=1440841384"
14,"God’s Plan","03:19:00","2018-01-19",3,8,4,"https://youtu.be/xpVfcZ0ZcFM?si=oKG_4VYHoXbgiprP","https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn?si=9523b3be716d46f3","https://music.apple.com/us/album/gods-plan/1406109769?i=1406109863"
15,"Not Like Us","04:34:00","2024-05-04",3,9,2,"https://youtu.be/H58vbez_m4E?si=-Sh5oBMfdXNr0D3e","https://open.spotify.com/track/6AI3ezQ4o3HUoP6Dhudph3?si=1ed0d09d649845d9","https://music.apple.com/us/album/not-like-us/1744776162?i=1744776167"
16,"DNA.","03:06:00","2017-04-14",3,9,2,"https://youtu.be/NLZRYQMLDW4?si=Iuhql2V5WteO5MY0","https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj?si=090a557dfa29470a","https://music.apple.com/us/album/dna/1440881047?i=1440881357"
17,"Super Bass","03:20:00","2010-11-22",3,10,4,"https://youtu.be/4JipHEz53sU?si=o1atF2A6PKk26hfb","https://open.spotify.com/track/3hlksXnvbKogFdPbpO9vel?si=2cdd44041e054254","https://music.apple.com/us/album/super-bass/1440909639?i=1440910489"
18,"Bang Bang","03:20:00","2014-07-28",3,10,4,"https://youtu.be/0HDdjwpPM3Y?si=ah5wrDUWep5E4boE","https://open.spotify.com/track/0puf9yIluy9W0vpMEUoAnN?si=c16f16a57c044ffd","https://music.apple.com/us/album/bang-bang/1444896437?i=1444896442"
19,"Here Comes the Sun","03:06:00","1969-09-26",4,11,1,"https://youtu.be/KQetemT1sWc?si=99VoIvgPSmRGfgpL","https://open.spotify.com/track/6dGnYIeXmHdcikdzNNDMm2?si=da2a2205cc4a49ba","https://music.apple.com/us/album/here-comes-the-sun/1441164426?i=1441164589"
20,"Blackbird","02:18:00","1968-11-22",4,11,1,"https://youtu.be/Man4Xw8Xypo?si=9Hsc99ctNUCk7UAG","https://open.spotify.com/track/5jgFfDIR6FR0gvlA56Nakr?si=cce680b3c4944b33","https://music.apple.com/us/album/blackbird/1441133180?i=1441133834"
21,"Angie","04:32:00","1973-08-20",4,12,3,"https://youtu.be/RcZn2-bGXqQ?si=7WQBAV8WEJl1EMVD","https://open.spotify.com/track/1GcVa4jFySlun4jLSuMhiq?si=81874c10afde4201","https://music.apple.com/us/album/angie/1440852826?i=1440853240"
22,"Tumbling Dice","03:47:00","1972-04-14",4,12,4,"https://youtu.be/EMoi_m2G6XU?si=B-FECQhfqMPerY14","https://open.spotify.com/track/4hq0S6wznq7SHDyMOFXL9i?si=699080f1fa4043fc","https://music.apple.com/us/album/tumbling-dice/1440872228?i=1440872599"
23,"Highway to Hell","03:28:00","1979-07-27",4,13,2,"https://youtu.be/l482T0yNkeo?si=NuI0BUsTbhwC6lha","https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s?si=82b8675941114061","https://music.apple.com/us/album/highway-to-hell/574043989?i=574044008"
24,"Shoot to Thrill","05:18:00","1980-07-25",4,13,4,"https://youtu.be/xRQnJyP77tY?si=-285MC3A5RntB8X1","https://open.spotify.com/track/0C80GCp0mMuBzLf3EAXqxv?si=92df329497b845a0","https://music.apple.com/us/album/shoot-to-thrill/574050396?i=574050498"
